from,quantity_from,to,quantity_to,account_name,date,id
usd,4000,bitcoin,1,test,1571063081,404
,0,usd,4000,test,1571061081,405
usd,4000,bitcoin,1,test,1571061081,406
,0,usd,4000,test,1571059081,407
usd,4000,bitcoin,1,test,1571059081,408
,0,usd,4000,test,1571057081,409
usd,4000,bitcoin,1,test,1571057081,410
,0,usd,4000,test,1571055081,411
usd,4000,bitcoin,1,test,1571055081,412
,0,usd,4000,test,1571053081,413
usd,4000,bitcoin,1,test,1571053081,414
,0,usd,4000,test,1571051081,415
usd,4000,bitcoin,1,test,1571051081,416
,0,usd,4000,test,1571049081,417
usd,4000,bitcoin,1,test,1571049081,418
,0,usd,4000,test,1571047081,419
usd,4000,bitcoin,1,test,1571047081,420
,0,usd,4000,test,1571045081,421
usd,4000,bitcoin,1,test,1571045081,422
,0,usd,4000,test,1571043081,423
usd,4000,bitcoin,1,test,1571043081,424
,0,usd,4000,test,1571041081,425
usd,4000,bitcoin,1,test,1571041081,426
,0,usd,4000,test,1571039081,427
usd,4000,bitcoin,1,test,1571039081,428
,0,usd,4000,test,1571037081,429
usd,4000,bitcoin,1,test,1571037081,430
,0,usd,4000,test,1571035081,431
usd,4000,bitcoin,1,test,1571035081,432
,0,usd,4000,test,1571033081,433
usd,4000,bitcoin,1,test,1571033081,434
,0,usd,4000,test,1571031081,435
usd,4000,bitcoin,1,test,1571031081,436
,0,usd,4000,test,1571029081,437
usd,4000,bitcoin,1,test,1571029081,438
,0,usd,4000,test,1571027081,439
usd,4000,bitcoin,1,test,1571027081,440
,0,usd,4000,test,1571025081,441
usd,4000,bitcoin,1,test,1571025081,442
,0,usd,4000,test,1571023081,443
usd,4000,bitcoin,1,test,1571023081,444
,0,usd,4000,test,1571021081,445
usd,4000,bitcoin,1,test,1571021081,446
,0,usd,4000,test,1571019081,447
usd,4000,bitcoin,1,test,1571019081,448
,0,usd,4000,test,1571017081,449
usd,4000,bitcoin,1,test,1571017081,450
,0,usd,4000,test,1571015081,451
usd,4000,bitcoin,1,test,1571015081,452
,0,usd,4000,test,1571013081,453
usd,4000,bitcoin,1,test,1571013081,454
,0,usd,4000,test,1571011081,455
usd,4000,bitcoin,1,test,1571011081,456
,0,usd,4000,test,1571009081,457
usd,4000,bitcoin,1,test,1571009081,458
,0,usd,4000,test,1571007081,459
usd,4000,bitcoin,1,test,1571007081,460
,0,usd,4000,test,1571005081,461
usd,4000,bitcoin,1,test,1571005081,462
,0,usd,4000,test,1571003081,463
usd,4000,bitcoin,1,test,1571003081,464
,0,usd,4000,test,1571001081,465
usd,4000,bitcoin,1,test,1571001081,466
,0,usd,4000,test,1570999081,467
usd,4000,bitcoin,1,test,1570999081,468
,0,usd,4000,test,1570997081,469
usd,4000,bitcoin,1,test,1570997081,470
,0,usd,4000,test,1570995081,471
usd,4000,bitcoin,1,test,1570995081,472
,0,usd,4000,test,1570993081,473
usd,4000,bitcoin,1,test,1570993081,474
,0,usd,4000,test,1570991081,475
usd,4000,bitcoin,1,test,1570991081,476
,0,usd,4000,test,1570989081,477
usd,4000,bitcoin,1,test,1570989081,478
,0,usd,4000,test,1570987081,479
usd,4000,bitcoin,1,test,1570987081,480
,0,usd,4000,test,1570985081,481
usd,4000,bitcoin,1,test,1570985081,482
,0,usd,4000,test,1570983081,483
usd,4000,bitcoin,1,test,1570983081,484
,0,usd,4000,test,1570981081,485
usd,4000,bitcoin,1,test,1570981081,486
,0,usd,4000,test,1570979081,487
usd,4000,bitcoin,1,test,1570979081,488
,0,usd,4000,test,1570977081,489
usd,4000,bitcoin,1,test,1570977081,490
,0,usd,4000,test,1570975081,491
usd,4000,bitcoin,1,test,1570975081,492
,0,usd,4000,test,1570973081,493
usd,4000,bitcoin,1,test,1570973081,494
,0,usd,4000,test,1570971081,495
usd,4000,bitcoin,1,test,1570971081,496
,0,usd,4000,test,1570969081,497
usd,4000,bitcoin,1,test,1570969081,498
,0,usd,4000,test,1570967081,499
usd,4000,bitcoin,1,test,1570967081,500
,0,usd,4000,test,1570965081,501
usd,4000,bitcoin,1,test,1570965081,502
,0,usd,4000,test,1570963081,503
usd,4000,bitcoin,1,test,1570963081,504
,0,usd,4000,test,1570961081,505
usd,4000,bitcoin,1,test,1570961081,506
,0,usd,4000,test,1570959081,507
usd,4000,bitcoin,1,test,1570959081,508
,0,usd,4000,test,1570957081,509
usd,4000,bitcoin,1,test,1570957081,510
,0,usd,4000,test,1570955081,511
usd,4000,bitcoin,1,test,1570955081,512
,0,usd,4000,test,1570953081,513
usd,4000,bitcoin,1,test,1570953081,514
,0,usd,4000,test,1570951081,515
usd,4000,bitcoin,1,test,1570951081,516
,0,usd,4000,test,1570949081,517
usd,4000,bitcoin,1,test,1570949081,518
,0,usd,4000,test,1570947081,519
usd,4000,bitcoin,1,test,1570947081,520
,0,usd,4000,test,1570945081,521
usd,4000,bitcoin,1,test,1570945081,522
,0,usd,4000,test,1570943081,523
usd,4000,bitcoin,1,test,1570943081,524
,0,usd,4000,test,1570941081,525
usd,4000,bitcoin,1,test,1570941081,526
,0,usd,4000,test,1570939081,527
usd,4000,bitcoin,1,test,1570939081,528
,0,usd,4000,test,1570937081,529
usd,4000,bitcoin,1,test,1570937081,530
,0,usd,4000,test,1570935081,531
usd,4000,bitcoin,1,test,1570935081,532
,0,usd,4000,test,1570933081,533
usd,4000,bitcoin,1,test,1570933081,534
,0,usd,4000,test,1570931081,535
usd,4000,bitcoin,1,test,1570931081,536
,0,usd,4000,test,1570929081,537
usd,4000,bitcoin,1,test,1570929081,538
,0,usd,4000,test,1570927081,539
usd,4000,bitcoin,1,test,1570927081,540
,0,usd,4000,test,1570925081,541
usd,4000,bitcoin,1,test,1570925081,542
,0,usd,4000,test,1570923081,543
usd,4000,bitcoin,1,test,1570923081,544
,0,usd,4000,test,1570921081,545
usd,4000,bitcoin,1,test,1570921081,546
,0,usd,4000,test,1570919081,547
usd,4000,bitcoin,1,test,1570919081,548
,0,usd,4000,test,1570917081,549
usd,4000,bitcoin,1,test,1570917081,550
,0,usd,4000,test,1570915081,551
usd,4000,bitcoin,1,test,1570915081,552
,0,usd,4000,test,1570913081,553
usd,4000,bitcoin,1,test,1570913081,554
,0,usd,4000,test,1570911081,555
usd,4000,bitcoin,1,test,1570911081,556
,0,usd,4000,test,1570909081,557
usd,4000,bitcoin,1,test,1570909081,558
,0,usd,4000,test,1570907081,559
usd,4000,bitcoin,1,test,1570907081,560
,0,usd,4000,test,1570905081,561
usd,4000,bitcoin,1,test,1570905081,562
,0,usd,4000,test,1570903081,563
usd,4000,bitcoin,1,test,1570903081,564
,0,usd,4000,test,1570901081,565
usd,4000,bitcoin,1,test,1570901081,566
,0,usd,4000,test,1570899081,567
usd,4000,bitcoin,1,test,1570899081,568
,0,usd,4000,test,1570897081,569
usd,4000,bitcoin,1,test,1570897081,570
,0,usd,4000,test,1570895081,571
usd,4000,bitcoin,1,test,1570895081,572
,0,usd,4000,test,1570893081,573
usd,4000,bitcoin,1,test,1570893081,574
,0,usd,4000,test,1570891081,575
usd,4000,bitcoin,1,test,1570891081,576
,0,usd,4000,test,1570889081,577
usd,4000,bitcoin,1,test,1570889081,578
,0,usd,4000,test,1570887081,579
usd,4000,bitcoin,1,test,1570887081,580
,0,usd,4000,test,1570885081,581
usd,4000,bitcoin,1,test,1570885081,582
,0,usd,4000,test,1570883081,583
usd,4000,bitcoin,1,test,1570883081,584
,0,usd,4000,test,1570881081,585
usd,4000,bitcoin,1,test,1570881081,586
,0,usd,4000,test,1570879081,587
usd,4000,bitcoin,1,test,1570879081,588
,0,usd,4000,test,1570877081,589
usd,4000,bitcoin,1,test,1570877081,590
,0,usd,4000,test,1570875081,591
usd,4000,bitcoin,1,test,1570875081,592
,0,usd,4000,test,1570873081,593
usd,4000,bitcoin,1,test,1570873081,594
,0,usd,4000,test,1570871081,595
usd,4000,bitcoin,1,test,1570871081,596
,0,usd,4000,test,1570869081,597
usd,4000,bitcoin,1,test,1570869081,598
,0,usd,4000,test,1570867081,599
usd,4000,bitcoin,1,test,1570867081,600
,0,usd,4000,test,1570865081,601
usd,4000,bitcoin,1,test,1570865081,602
,0,usd,4000,test,1570863081,603
usd,4000,bitcoin,1,test,1570863081,604
,0,usd,4000,test,1570861081,605
usd,4000,bitcoin,1,test,1570861081,606
,0,usd,4000,test,1570859081,607
usd,4000,bitcoin,1,test,1570859081,608
,0,usd,4000,test,1570857081,609
usd,4000,bitcoin,1,test,1570857081,610
,0,usd,4000,test,1570855081,611
usd,4000,bitcoin,1,test,1570855081,612
,0,usd,4000,test,1570853081,613
usd,4000,bitcoin,1,test,1570853081,614
,0,usd,4000,test,1570851081,615
usd,4000,bitcoin,1,test,1570851081,616
,0,usd,4000,test,1570849081,617
usd,4000,bitcoin,1,test,1570849081,618
,0,usd,4000,test,1570847081,619
usd,4000,bitcoin,1,test,1570847081,620
,0,usd,4000,test,1570845081,621
usd,4000,bitcoin,1,test,1570845081,622
,0,usd,4000,test,1570843081,623
usd,4000,bitcoin,1,test,1570843081,624
,0,usd,4000,test,1570841081,625
usd,4000,bitcoin,1,test,1570841081,626
,0,usd,4000,test,1570839081,627
usd,4000,bitcoin,1,test,1570839081,628
,0,usd,4000,test,1570837081,629
usd,4000,bitcoin,1,test,1570837081,630
,0,usd,4000,test,1570835081,631
usd,4000,bitcoin,1,test,1570835081,632
,0,usd,4000,test,1570833081,633
usd,4000,bitcoin,1,test,1570833081,634
,0,usd,4000,test,1570831081,635
usd,4000,bitcoin,1,test,1570831081,636
,0,usd,4000,test,1570829081,637
usd,4000,bitcoin,1,test,1570829081,638
,0,usd,4000,test,1570827081,639
usd,4000,bitcoin,1,test,1570827081,640
,0,usd,4000,test,1570825081,641
usd,4000,bitcoin,1,test,1570825081,642
,0,usd,4000,test,1570823081,643
usd,4000,bitcoin,1,test,1570823081,644
,0,usd,4000,test,1570821081,645
usd,4000,bitcoin,1,test,1570821081,646
,0,usd,4000,test,1570819081,647
usd,4000,bitcoin,1,test,1570819081,648
,0,usd,4000,test,1570817081,649
usd,4000,bitcoin,1,test,1570817081,650
,0,usd,4000,test,1570815081,651
usd,4000,bitcoin,1,test,1570815081,652
,0,usd,4000,test,1570813081,653
usd,4000,bitcoin,1,test,1570813081,654
,0,usd,4000,test,1570811081,655
usd,4000,bitcoin,1,test,1570811081,656
,0,usd,4000,test,1570809081,657
usd,4000,bitcoin,1,test,1570809081,658
,0,usd,4000,test,1570807081,659
usd,4000,bitcoin,1,test,1570807081,660
,0,usd,4000,test,1570805081,661
usd,4000,bitcoin,1,test,1570805081,662
,0,usd,4000,test,1570803081,663
usd,4000,bitcoin,1,test,1570803081,664
,0,usd,4000,test,1570801081,665
usd,4000,bitcoin,1,test,1570801081,666
,0,usd,4000,test,1570799081,667
usd,4000,bitcoin,1,test,1570799081,668
,0,usd,4000,test,1570797081,669
usd,4000,bitcoin,1,test,1570797081,670
,0,usd,4000,test,1570795081,671
usd,4000,bitcoin,1,test,1570795081,672
,0,usd,4000,test,1570793081,673
usd,4000,bitcoin,1,test,1570793081,674
,0,usd,4000,test,1570791081,675
usd,4000,bitcoin,1,test,1570791081,676
,0,usd,4000,test,1570789081,677
usd,4000,bitcoin,1,test,1570789081,678
,0,usd,4000,test,1570787081,679
usd,4000,bitcoin,1,test,1570787081,680
